"T","U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
293.648,0.147393,0.00431485,0,8.16531,0.769245,0.04,-0.01
293.679,0.143233,0.00441592,0,8.1665,0.788983,0.04,-0.01
293.716,0.139023,0.00451383,0,8.16787,0.808494,0.04,-0.01
293.76,0.134766,0.00460823,0,8.1694,0.82778,0.04,-0.01
293.81,0.130467,0.00469874,0,8.1711,0.846844,0.04,-0.01
293.869,0.126132,0.00478498,0,8.17295,0.865687,0.04,-0.01
293.938,0.121764,0.00486659,0,8.17493,0.884314,0.04,-0.01
294.016,0.117371,0.00494318,0,8.17706,0.902725,0.04,-0.01
294.107,0.112957,0.00501439,0,8.1793,0.920924,0.04,-0.01
294.21,0.108527,0.00507989,0,8.18165,0.938914,0.04,-0.01
294.328,0.104088,0.00513935,0,8.1841,0.956696,0.04,-0.01
294.461,0.0996457,0.00519249,0,8.18665,0.974272,0.04,-0.01
294.611,0.0952053,0.00523905,0,8.18927,0.991647,0.04,-0.01
294.779,0.090773,0.00527883,0,8.19197,1.00882,0.04,-0.01
294.966,0.0863548,0.00531169,0,8.19472,1.0258,0.04,-0.01
295.175,0.0819565,0.00533753,0,8.19753,1.04258,0.04,-0.01
295.405,0.0775839,0.00535628,0,8.20038,1.05916,0.04,-0.01
295.658,0.0732426,0.00536795,0,8.20325,1.07556,0.04,-0.01
295.936,0.0689382,0.00537253,0,8.20615,1.09176,0.04,-0.01
296.239,0.0646762,0.00537001,0,8.20906,1.10778,0.04,-0.01
296.568,0.0604618,0.00536033,0,8.21198,1.12362,0.04,-0.01
296.924,0.0563004,0.00534332,0,8.21489,1.13927,0.04,-0.01
297.307,0.0521975,0.00531861,0,8.21779,1.15474,0.04,-0.01
297.718,0.0481585,0.0052856,0,8.22068,1.17003,0.04,-0.01
298.156,0.0441897,0.00524331,0,8.22355,1.18515,0.04,-0.01
298.622,0.0402975,0.00519034,0,8.22639,1.20009,0.04,-0.01
299.116,0.0364897,0.00512476,0,8.2292,1.21486,0.04,-0.01
299.636,0.0327749,0.00504407,0,8.23198,1.22946,0.04,-0.01
300.183,0.0291634,0.00494513,0,8.23472,1.24389,0.04,-0.01
300.754,0.0256671,0.00482421,0,8.23742,1.25816,0.04,-0.01
301.35,0.0223002,0.00467703,0,8.24008,1.27226,0.04,-0.01
301.969,0.0190786,0.00449891,0,8.2427,1.2862,0.04,-0.01
302.61,0.0160206,0.00428502,0,8.24527,1.29998,0.04,-0.01
303.271,0.0131465,0.00403065,0,8.24779,1.31359,0.04,-0.01
303.951,0.010478,0.00373172,0,8.25024,1.32705,0.04,-0.01
304.649,0.008038,0.00338524,0,8.25263,1.34036,0.04,-0.01
293.5,0.28485,0,0,8.25875,0,0.05,-0.01
293.5,0.284446,0.000202196,0,8.25397,0.0286091,0.05,-0.01
293.5,0.284329,0.000551828,0,8.24604,0.0568883,0.05,-0.01
293.5,0.283496,0.000878147,0,8.23958,0.0848413,0.05,-0.01
293.5,0.282467,0.00117965,0,8.23307,0.112472,0.05,-0.01
293.5,0.281155,0.00146138,0,8.22684,0.139784,0.05,-0.01
293.5,0.279592,0.00172152,0,8.22087,0.166781,0.05,-0.01
293.5,0.277799,0.00196498,0,8.21519,0.193467,0.05,-0.01
293.5,0.275793,0.0021951,0,8.2098,0.219845,0.05,-0.01
293.501,0.273589,0.00241455,0,8.20471,0.245919,0.05,-0.01
293.501,0.2712,0.00262552,0,8.19993,0.271692,0.05,-0.01
293.501,0.268636,0.00282977,0,8.19545,0.297168,0.05,-0.01
293.501,0.265908,0.00302869,0,8.19128,0.322351,0.05,-0.01
293.502,0.263023,0.00322342,0,8.18741,0.347243,0.05,-0.01
293.502,0.259988,0.00341489,0,8.18384,0.371847,0.05,-0.01
293.503,0.256809,0.00360382,0,8.18057,0.396169,0.05,-0.01
293.504,0.253493,0.00379082,0,8.1776,0.420209,0.05,-0.01
293.505,0.250043,0.00397635,0,8.17492,0.443973,0.05,-0.01
293.506,0.246464,0.00416077,0,8.17253,0.467462,0.05,-0.01
293.508,0.24276,0.00434431,0,8.17042,0.49068,0.05,-0.01
293.51,0.238935,0.00452716,0,8.16859,0.513631,0.05,-0.01
293.513,0.234992,0.00470938,0,8.16704,0.536317,0.05,-0.01
293.517,0.230935,0.00489098,0,8.16575,0.558742,0.05,-0.01
293.521,0.226767,0.00507192,0,8.16473,0.580908,0.05,-0.01
293.527,0.222491,0.00525205,0,8.16396,0.602818,0.05,-0.01
293.533,0.218111,0.00543121,0,8.16344,0.624476,0.05,-0.01
293.542,0.213631,0.00560915,0,8.16317,0.645883,0.05,-0.01
293.552,0.209053,0.0057856,0,8.16313,0.667044,0.05,-0.01
293.564,0.204382,0.00596021,0,8.16332,0.687961,0.05,-0.01
293.579,0.199622,0.00613261,0,8.16373,0.708637,0.05,-0.01
293.596,0.194776,0.00630238,0,8.16436,0.729075,0.05,-0.01
293.618,0.18985,0.00646908,0,8.16519,0.749276,0.05,-0.01
293.643,0.184847,0.00663222,0,8.16621,0.769245,0.05,-0.01
293.674,0.179772,0.00679129,0,8.16742,0.788983,0.05,-0.01
293.71,0.174631,0.00694574,0,8.16882,0.808494,0.05,-0.01
293.752,0.169429,0.00709503,0,8.17038,0.82778,0.05,-0.01
293.801,0.164171,0.00723858,0,8.1721,0.846844,0.05,-0.01
293.859,0.158864,0.00737581,0,8.17397,0.865687,0.05,-0.01
293.926,0.153513,0.00750614,0,8.17599,0.884314,0.05,-0.01
294.003,0.148125,0.00762899,0,8.17813,0.902725,0.05,-0.01
294.091,0.142706,0.0077438,0,8.18039,0.920924,0.05,-0.01
294.193,0.137263,0.00785003,0,8.18277,0.938914,0.05,-0.01
294.308,0.131802,0.00794718,0,8.18524,0.956696,0.05,-0.01
294.439,0.126332,0.00803477,0,8.18781,0.974272,0.05,-0.01
294.586,0.120859,0.00811242,0,8.19045,0.991647,0.05,-0.01
294.751,0.11539,0.00817976,0,8.19316,1.00882,0.05,-0.01
294.936,0.109933,0.00823654,0,8.19594,1.0258,0.05,-0.01
295.141,0.104494,0.00828256,0,8.19876,1.04258,0.05,-0.01
295.369,0.0990819,0.00831766,0,8.20162,1.05916,0.05,-0.01
295.619,0.0937023,0.00834178,0,8.2045,1.07556,0.05,-0.01
295.894,0.0883626,0.00835483,0,8.20741,1.09176,0.05,-0.01
296.194,0.0830699,0.00835674,0,8.21033,1.10778,0.05,-0.01
296.521,0.077831,0.00834731,0,8.21325,1.12362,0.05,-0.01
296.874,0.0726527,0.00832619,0,8.21617,1.13927,0.05,-0.01
297.255,0.067542,0.00829276,0,8.21908,1.15474,0.05,-0.01
297.663,0.0625064,0.00824601,0,8.22196,1.17003,0.05,-0.01
298.1,0.0575535,0.00818443,0,8.22482,1.18515,0.05,-0.01
